rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
225,src/decode.rs,986,1,0,0,2,1.0,1.0,inf,if let BrotliDecoderErrorCode::BROTLI_DECODER_NEEDS_MORE_INPUT = result {
226,src/decode.rs,988,1,0,0,2,1.0,1.0,inf,}
227,src/decode.rs,989,1,0,0,2,1.0,1.0,inf,match result {
228,src/decode.rs,990,1,0,0,2,1.0,1.0,inf,BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS => {}
229,src/decode.rs,994,1,0,0,2,1.0,1.0,inf,if (s.space != 0) {
230,src/decode.rs,997,1,0,0,2,1.0,1.0,inf,}
231,src/decode.rs,998,1,0,0,2,1.0,1.0,inf,"table_size = huffman::BrotliBuildHuffmanTable(fast_mut!((table)[offset;]),"
232,src/decode.rs,999,1,0,0,2,1.0,1.0,inf,"HUFFMAN_TABLE_BITS as i32,"
233,src/decode.rs,1000,1,0,0,2,1.0,1.0,inf,"&s.symbols_lists_array[..],"
234,src/decode.rs,1003,1,0,0,2,1.0,1.0,inf,if let Some(opt_table_size_ref) = opt_table_size {
235,src/decode.rs,1004,1,0,0,2,1.0,1.0,inf,*opt_table_size_ref = table_size
236,src/decode.rs,1006,1,0,0,2,1.0,1.0,inf,s.substate_huffman = BrotliRunningHuffmanState::BROTLI_STATE_HUFFMAN_NONE;
237,src/decode.rs,1007,1,0,0,2,1.0,1.0,inf,return BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS;
238,src/decode.rs,1029,1,0,0,2,1.0,1.0,inf,"fn SafeReadBlockLengthIndex(substate_read_block_length: &state::BrotliRunningReadBlockLengthState,"
239,src/decode.rs,1035,1,0,0,2,1.0,1.0,inf,match *substate_read_block_length {
240,src/decode.rs,1037,1,0,0,2,1.0,1.0,inf,let mut index: u32 = 0;
241,src/decode.rs,1038,1,0,0,2,1.0,1.0,inf,"if (!SafeReadSymbol(table, &mut br, &mut index, input)) {"
242,src/decode.rs,1040,1,0,0,2,1.0,1.0,inf,}
243,src/decode.rs,1041,1,0,0,2,1.0,1.0,inf,"(true, index)"
244,src/decode.rs,1045,1,0,0,2,1.0,1.0,inf,}
245,src/decode.rs,1046,1,0,0,2,1.0,1.0,inf,fn SafeReadBlockLengthFromIndex<
246,src/decode.rs,1052,1,0,0,2,1.0,1.0,inf,"let (res, index) = res_index;"
247,src/decode.rs,1053,1,0,0,2,1.0,1.0,inf,if !res {
248,src/decode.rs,1055,1,0,0,2,1.0,1.0,inf,}
249,src/decode.rs,1056,1,0,0,2,1.0,1.0,inf,let mut bits: u32 = 0;
250,src/decode.rs,1057,1,0,0,2,1.0,1.0,inf,let nbits = fast_ref!((prefix::kBlockLengthPrefixCode)[index as usize]).nbits; /* nbits==2..24 */
251,src/decode.rs,1058,1,0,0,2,1.0,1.0,inf,"if (!bit_reader::BrotliSafeReadBits(br, nbits as u32, &mut bits, input)) {"
252,src/decode.rs,1063,1,0,0,2,1.0,1.0,inf,}
253,src/decode.rs,1064,1,0,0,2,1.0,1.0,inf,*result = fast_ref!((prefix::kBlockLengthPrefixCode)[index as usize]).offset as u32 + bits;
254,src/decode.rs,1065,1,0,0,2,1.0,1.0,inf,s.substate_read_block_length =
255,src/decode.rs,1067,1,0,0,2,1.0,1.0,inf,true
256,src/decode.rs,1068,1,0,0,2,1.0,1.0,inf,}
257,src/decode.rs,1148,1,0,0,2,1.0,1.0,inf,} else if group_index == 1 {
258,src/decode.rs,1149,1,0,0,2,1.0,1.0,inf,"hcodes = mem::replace(&mut s.insert_copy_hgroup.codes,"
259,src/decode.rs,1150,1,0,0,2,1.0,1.0,inf,AllocHC::AllocatedMemory::default());
