bug_id,project,category,repo_url,buggy_commit,fixed_commit,failing_tests,passing_tests,oracle,notes,formula,found,best_rank,worst_tie_rank,average_tie_rank,tie_size,exam_best,exam_worst_tie,wasted_effort_best,top1,top3,top5,top10,ranked_lines,best_oracle_file,best_oracle_line,best_oracle_text,metrics_status
bytemuck-bytes-of-zst,bytemuck,panic-error-handling,https://github.com/Lokathor/bytemuck,b05354dc01dfbb05cd63aaa088646d2428c85c2f,e5d5061854e6c7a7bdecb8d82729e0406d22587c,manual_bytes_of_zst,manual_bytes_of_nonempty_array; manual_bytes_of_scalar,src/lib.rs:115; src/lib.rs:127,bytes_of() panicked for zero-sized types. Reconstructed from upstream PR #53.,dstar2,true,8,13,10.000000,7,0.047904,0.077844,7,false,false,false,true,167,src/lib.rs,115,"match try_cast_slice::<T, u8>(core::slice::from_ref(t)) {",ok
bytemuck-bytes-of-zst,bytemuck,panic-error-handling,https://github.com/Lokathor/bytemuck,b05354dc01dfbb05cd63aaa088646d2428c85c2f,e5d5061854e6c7a7bdecb8d82729e0406d22587c,manual_bytes_of_zst,manual_bytes_of_nonempty_array; manual_bytes_of_scalar,src/lib.rs:115; src/lib.rs:127,bytes_of() panicked for zero-sized types. Reconstructed from upstream PR #53.,tarantula,true,8,13,10.000000,7,0.047904,0.077844,7,false,false,false,true,167,src/lib.rs,115,"match try_cast_slice::<T, u8>(core::slice::from_ref(t)) {",ok
proc-macro2-cooked-byte-utf8,proc-macro2,macro-involved,https://github.com/dtolnay/proc-macro2,36931ed936cdd88848a2116a50bc9af8a033f71a,8c03033828a614775017f078a01f2c457957975b,manual_cooked_byte_utf8_boundary,manual_cooked_byte_ascii; manual_cooked_byte_unicode_char,src/stable.rs:907,Lexer panicked on utf-8 char boundary in cooked_byte. Reconstructed from upstream issue #54.,ochiai,true,7,11,6.000000,11,0.010511,0.016517,6,false,false,false,true,666,src/stable.rs,907,"Some((offset, _)) => Ok((input.advance(offset), ())),",ok
proc-macro2-cooked-byte-utf8,proc-macro2,macro-involved,https://github.com/dtolnay/proc-macro2,36931ed936cdd88848a2116a50bc9af8a033f71a,8c03033828a614775017f078a01f2c457957975b,manual_cooked_byte_utf8_boundary,manual_cooked_byte_ascii; manual_cooked_byte_unicode_char,src/stable.rs:907,Lexer panicked on utf-8 char boundary in cooked_byte. Reconstructed from upstream issue #54.,dstar2,true,7,11,6.000000,11,0.010511,0.016517,6,false,false,false,true,666,src/stable.rs,907,"Some((offset, _)) => Ok((input.advance(offset), ())),",ok
proc-macro2-cooked-byte-utf8,proc-macro2,macro-involved,https://github.com/dtolnay/proc-macro2,36931ed936cdd88848a2116a50bc9af8a033f71a,8c03033828a614775017f078a01f2c457957975b,manual_cooked_byte_utf8_boundary,manual_cooked_byte_ascii; manual_cooked_byte_unicode_char,src/stable.rs:907,Lexer panicked on utf-8 char boundary in cooked_byte. Reconstructed from upstream issue #54.,tarantula,true,7,11,6.000000,11,0.010511,0.016517,6,false,false,false,true,666,src/stable.rs,907,"Some((offset, _)) => Ok((input.advance(offset), ())),",ok
rust-url-anarchist-roundtrip,rust-url,parser-panic,https://github.com/servo/rust-url,edeaea7f1e8bd08148bcd535f921fbc645bce53e,74b8694568d8eb936e339a7d726bda46881dcd9d,manual_anarchist_url_roundtrip,manual_http_url_roundtrip; manual_no_leading_empty_segment,url/src/lib.rs:686; url/src/parser.rs:477; url/src/parser.rs:479; url/src/parser.rs:1357,Anarchist URL with // path caused round-trip panic. Reconstructed from upstream PR #817.,ochiai,true,39,102,51.500000,102,0.011036,0.028862,38,false,false,false,false,3534,url/src/parser.rs,477,let path_start = self.serialization.len();,ok
rust-url-anarchist-roundtrip,rust-url,parser-panic,https://github.com/servo/rust-url,edeaea7f1e8bd08148bcd535f921fbc645bce53e,74b8694568d8eb936e339a7d726bda46881dcd9d,manual_anarchist_url_roundtrip,manual_http_url_roundtrip; manual_no_leading_empty_segment,url/src/lib.rs:686; url/src/parser.rs:477; url/src/parser.rs:479; url/src/parser.rs:1357,Anarchist URL with // path caused round-trip panic. Reconstructed from upstream PR #817.,dstar2,true,39,102,51.500000,102,0.011036,0.028862,38,false,false,false,false,3534,url/src/parser.rs,477,let path_start = self.serialization.len();,ok
rust-url-anarchist-roundtrip,rust-url,parser-panic,https://github.com/servo/rust-url,edeaea7f1e8bd08148bcd535f921fbc645bce53e,74b8694568d8eb936e339a7d726bda46881dcd9d,manual_anarchist_url_roundtrip,manual_http_url_roundtrip; manual_no_leading_empty_segment,url/src/lib.rs:686; url/src/parser.rs:477; url/src/parser.rs:479; url/src/parser.rs:1357,Anarchist URL with // path caused round-trip panic. Reconstructed from upstream PR #817.,tarantula,true,39,102,51.500000,102,0.011036,0.028862,38,false,false,false,false,3534,url/src/parser.rs,477,let path_start = self.serialization.len();,ok
rust-url-file-set-path-panic,rust-url,parser-panic,https://github.com/servo/rust-url,edabc7979357e530feb558add94ba837eb613ab5,a08aa2cd10a67d9922ecd4fa96584cfc97820e87,manual_file_set_path_windows_drive,manual_file_set_path_no_drive; manual_http_set_path,url/src/parser.rs:1206,set_path panicked for file URLs with Windows drive-like paths. Reconstructed from upstream PR #865.,ochiai,true,67,83,42.000000,83,0.018606,0.023049,66,false,false,false,false,3601,url/src/parser.rs,1206,"&self.serialization[path_start + 1..],",ok
rust-url-file-set-path-panic,rust-url,parser-panic,https://github.com/servo/rust-url,edabc7979357e530feb558add94ba837eb613ab5,a08aa2cd10a67d9922ecd4fa96584cfc97820e87,manual_file_set_path_windows_drive,manual_file_set_path_no_drive; manual_http_set_path,url/src/parser.rs:1206,set_path panicked for file URLs with Windows drive-like paths. Reconstructed from upstream PR #865.,dstar2,true,67,83,42.000000,83,0.018606,0.023049,66,false,false,false,false,3601,url/src/parser.rs,1206,"&self.serialization[path_start + 1..],",ok
rust-url-file-set-path-panic,rust-url,parser-panic,https://github.com/servo/rust-url,edabc7979357e530feb558add94ba837eb613ab5,a08aa2cd10a67d9922ecd4fa96584cfc97820e87,manual_file_set_path_windows_drive,manual_file_set_path_no_drive; manual_http_set_path,url/src/parser.rs:1206,set_path panicked for file URLs with Windows drive-like paths. Reconstructed from upstream PR #865.,tarantula,true,67,83,42.000000,83,0.018606,0.023049,66,false,false,false,false,3601,url/src/parser.rs,1206,"&self.serialization[path_start + 1..],",ok
nom-count-zero-sized,nom,parser-panic,https://github.com/rust-bakery/nom,6be62d30d74503bdbb4a5d3cd93e6b7771dd0fe7,ee7ad17086934c97be6d6fdb1de0ffad193fd1d5,manual_count_zero_sized_output,manual_count_nonzero_output; manual_count_one,src/multi/mod.rs:582,count() panicked with zero-sized parser output. Reconstructed from upstream PR #1618.,ochiai,true,13,16,10.500000,12,0.004377,0.005387,12,false,false,false,false,2970,src/multi/mod.rs,582,"Ok((i, o)) => {",ok
nom-count-zero-sized,nom,parser-panic,https://github.com/rust-bakery/nom,6be62d30d74503bdbb4a5d3cd93e6b7771dd0fe7,ee7ad17086934c97be6d6fdb1de0ffad193fd1d5,manual_count_zero_sized_output,manual_count_nonzero_output; manual_count_one,src/multi/mod.rs:582,count() panicked with zero-sized parser output. Reconstructed from upstream PR #1618.,dstar2,true,13,16,10.500000,12,0.004377,0.005387,12,false,false,false,false,2970,src/multi/mod.rs,582,"Ok((i, o)) => {",ok
nom-count-zero-sized,nom,parser-panic,https://github.com/rust-bakery/nom,6be62d30d74503bdbb4a5d3cd93e6b7771dd0fe7,ee7ad17086934c97be6d6fdb1de0ffad193fd1d5,manual_count_zero_sized_output,manual_count_nonzero_output; manual_count_one,src/multi/mod.rs:582,count() panicked with zero-sized parser output. Reconstructed from upstream PR #1618.,tarantula,true,13,16,10.500000,12,0.004377,0.005387,12,false,false,false,false,2970,src/multi/mod.rs,582,"Ok((i, o)) => {",ok
brotli-fill-bit-window-panic,brotli-decompressor,panic-error-handling,https://github.com/dropbox/rust-brotli-decompressor,0045b6e18a91b12937ffc45a7a4f934ffeab7d2e,d82932e686d4a73c73b8aa3b96b01c8255e438ed,manual_bit_window_overflow,manual_empty_input; manual_short_input,src/bit_reader/mod.rs:137; src/bit_reader/mod.rs:575,BrotliFillBitWindow panicked on specific bit-reader state. Reconstructed from upstream fix.,ochiai,true,21,713,357.000000,713,0.006054,0.205535,20,false,false,false,false,3469,src/bit_reader/mod.rs,137,if (n_bits <= 8) {,ok
